geography code,total,OW,SO,SR,PR
E02002506,2426,325,531,1167,44
E02002507,2498,1129,1036,41,27
E02002508,2118,1089,791,51,21
E02002509,2343,724,847,453,38
E02002510,2482,1279,947,46,16
E02002512,2205,943,1012,75,22
E02002513,3824,848,1135,1473,52
E02002514,3827,683,1609,1222,59
E02006811,3927,1894,1603,106,33
E02005702,2690,1018,694,260,84
E02005703,3150,873,814,934,92
E02005704,5508,2073,1800,933,76
E02005705,3407,1329,896,367,154
E02005706,4329,1168,1099,1293,75
E02005707,3123,1391,843,334,92
E02005708,5013,1853,1030,717,303
E02005709,2984,439,648,1561,65
E02005710,4067,1055,1293,730,59
E02005711,3680,884,986,1468,42
E02005712,2914,780,1136,621,33
E02005713,2736,1069,1475,16,10
E02005714,2003,624,1304,7,4
E02005715,3714,817,1097,1387,52
E02005716,3732,990,1657,710,44
E02005717,3598,1280,1299,720,58
E02005718,3085,1373,1213,153,24
E02005719,3536,914,1266,890,48
E02005720,4822,1534,1742,924,55
E02005721,2140,613,817,411,26
E02005722,2990,1082,981,174,135
E02005723,3124,1030,859,817,65
E02005724,2548,1373,972,49,23
E02005725,2792,1360,908,209,49
E02005726,3008,1452,1029,128,60
E02005727,2839,1003,769,345,105
E02005728,3172,1301,803,459,93
E02005729,2395,959,853,249,50
E02005730,5725,2183,1704,984,89
E02005731,4533,1253,1868,1022,40
E02005732,3905,1716,1230,332,76
E02005733,3487,1385,998,375,101
E02005734,2853,871,780,772,32
E02005735,3621,1011,1013,525,35
E02005736,3369,672,960,1280,39
E02005737,3232,892,1217,787,25
E02005738,2188,806,978,184,18
E02005739,4257,1358,1565,862,43
E02005740,4677,1122,1562,1273,45
E02005741,3588,1180,1473,579,40
E02002515,3270,830,1000,230,38
E02002516,2432,705,848,634,23
E02002517,2386,685,768,697,38
E02002518,4510,1777,2101,156,56
E02002519,3153,748,868,1301,25
E02002520,5772,2474,2228,490,61
E02002521,2865,1007,859,385,29
E02002523,2716,288,514,1574,19
E02002524,2291,836,840,316,16
E02002525,3772,1118,1379,815,29
E02002526,3189,910,1223,529,33
E02002527,2254,680,609,478,22
E02002529,2620,847,882,651,26
E02002530,2881,1034,802,640,42
E02002532,2933,740,859,766,52
E02002533,2437,1139,960,112,20
E02002534,2469,1338,911,24,30
E02006812,3354,1241,1104,710,30
E02006910,4301,1409,1400,1060,53
E02002535,4062,1421,2138,160,24
E02002536,4239,1393,1490,769,28
E02002537,3673,813,1243,1104,19
E02002538,2429,570,953,524,15
E02002539,3517,1519,1608,124,41
E02002540,2808,1279,1194,121,22
E02002541,2870,947,1113,282,38
E02002542,3358,696,1217,1075,21
E02002543,3356,467,1139,1409,14
E02002544,3391,772,1006,949,31
E02002545,2294,978,1050,76,15
E02002546,3103,674,979,886,21
E02002547,2765,1210,1066,311,22
E02002548,4986,597,1090,1815,71
E02002549,3361,1605,1359,153,36
E02002550,2670,983,964,335,31
E02002551,2739,373,638,792,35
E02002552,2798,632,1104,773,12
E02002553,2585,765,861,563,25
E02002554,2355,610,597,870,27
